Sr No,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,date
1,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,44596.25,Not provided,09/01/2020
2,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048.4,Not provided,13/01/2020
3,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358.9,Not provided,09/01/2020
4,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000.0,Not provided,02/01/2020
5,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800.0,Not provided,02/01/2020
6,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000.0,Not provided,13/01/2020
7,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,44596.25,Not provided,10/01/2020
8,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000.0,Not provided,12/12/2019
9,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,44596.25,Not provided,06/12/2019
10,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,44596.25,Not provided,03/12/2019
11,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000.0,Not provided,13/12/2019
12,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000.0,Not provided,17/12/2019
13,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000.0,Not provided,16/12/2019
14,InCred,Finance,Non-Banking Financial Company,Mumbai,Not provided,Debt Funding,5900.0,Not provided,16/12/2019
15,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000.0,Not provided,14/12/2019
16,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,44596.25,Not provided,11/12/2019
17,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,44596.25,Not provided,20/12/2019
18,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,44596.25,Not provided,13/11/2019
19,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486.0,Not provided,14/11/2019
20,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500.0,Not provided,13/11/2019
21,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,18438.5,Not provided,17/11/2019
22,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000.0,Not provided,18/11/2019
23,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000.0,Not provided,15/11/2019
24,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411.3,Not provided,20/11/2019
25,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300.0,Not provided,12/11/2019
26,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,44596.25,Not provided,20/11/2019
27,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300.0,Not provided,11/11/2019
28,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,44596.25,Not provided,19/11/2019
29,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800.0,Not provided,18/11/2019
30,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,44596.25,Not provided,15/11/2019
31,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Private Equity,44596.25,Not provided,19/11/2019
32,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,44596.25,Not provided,25/11/2019
33,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,44596.25,Not provided,04/10/2019
34,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,44596.25,Not provided,02/10/2019
35,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,18438.5,Not provided,21/10/2019
36,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500.0,Not provided,05/09/2019
37,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300.0,Not provided,04/09/2019
38,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000.0,Not provided,04/09/2019
39,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000.0,Not provided,04/09/2019
40,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000.0,Not provided,04/09/2019
41,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000.0,Not provided,04/09/2019
42,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000.0,Not provided,04/09/2019
43,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,44596.25,Not provided,04/09/2019
44,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000.0,Not provided,03/09/2019
45,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000.0,Not provided,01/08/2019
46,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000.0,Not provided,01/08/2019
47,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Not provided,Seed Funding Round,1600.0,Not provided,01/08/2019
48,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,44596.25,Not provided,01/08/2019
49,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080.0,Not provided,01/08/2019
50,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,44596.25,Not provided,12/08/2019
51,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000.0,Not provided,13/08/2019
52,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,44596.25,Not provided,13/08/2019
53,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000.0,Not provided,23/08/2019
54,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500.0,Not provided,23/08/2019
55,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,44596.25,Not provided,23/08/2019
56,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000.0,Not provided,22/08/2019
57,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590.0,Not provided,21/08/2019
58,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000.0,Not provided,23/08/2019
59,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,18438.5,Not provided,19/08/2019
60,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,44596.25,Not provided,19/08/2019
61,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,44596.25,Not provided,27/08/2019
62,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000.0,Not provided,02/07/2019
63,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500.0,Not provided,02/07/2019
64,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145.0,Not provided,01/07/2019
65,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000.0,Not provided,03/07/2019
66,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080.0,Not provided,01/07/2019
